# Generacion distribuida de universos — Modo A (reparto por lotes)
# MEDIDO en 3 PCs reales (RTX 4060 + RTX 3050 + AMD RX 6600 XT) via Tailscale.
# 120 universos, N=3000, 300 pasos.
# Las dos filas son la MISMA carga; solo cambia el reparto.
reparto,universos_rank0,universos_rank1,universos_rank2,t_rank0_s,t_rank1_s,t_rank2_s,t_lote_s,t_serie_s,speedup,eficiencia,ocio_s
ingenuo,40,40,40,8.6,9.8,13.6,13.6,32.0,2.36,0.787,5.0
aprendido,47,42,31,10.1,10.5,10.2,10.5,30.8,2.94,0.980,0.4
